Name,Symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,tenure,assets,category
DFA International Small Company,DFISX,8.19,12.39,8.19,,,,1.94,,0.75,2,"273,990,000",International
DFA International Value,DFIVX,14.87,16.96,14.87,6.25,,,1.92,***,0.56,0,"435,700,000",International
DFA International Value IV,DFVFX,15.55,17.13,15.55,,,,2.16,,,0,"98,650,000",International
DFA International Value III,DFVIX,15.09,16.98,15.09,6.45,,,2.21,***,0.45,0,"288,040,000",International
Dreyfus Intl Stock Index,DIISX,19.36,20.33,19.36,,,,0.68,,,1,"27,882,079",International
DFA International Small Cap Value,DISVX,5.27,10.22,5.27,-6.35,,,1.99,**,0.9,0,"451,010,000",International
Dreyfus Intl Growth,DITFX,1.61,14.23,1.61,2.79,0.67,,0,**,1.92,2,"57,596,399",International
DFA International Value II,DIVTX,14.88,17.05,14.88,6.87,,,2.12,***,0.86,0,"37,310,000",International
Delaware Pooled International Equity,DPIEX,10.01,13.7,10.01,11.65,10.26,,2.35,****,0.89,6,"648,288,982",International
Dresdner RCM Intl Growth Equity A,DRIEX,13.81,17.85,13.81,16.99,,,1.5,****,1,0,"123,402,092",International
Driehaus International Growth,DRIGX,15.15,5.35,15.15,,,,0,,2.11,2,"209,406,772",International
Diversified Investors Intl Equity,DVIEX,10.47,16.67,10.47,,,,0.42,,1.41,2,"308,256,943",International
Nations International Value Prim A,EMIEX,11.6,20.38,11.6,15.93,,,1.24,****,1.21,2,"127,128,199",International
Enterprise International Growth Y,ENIYX,14.73,17.54,14.73,10.85,,,0.71,****,1.55,3,"12,618,105",International
Excelsior Instl International Equity,EXIIX,10.13,18.21,10.13,6.78,,,1.7,***,0.9,,"34,059,018",International
First American International Y,FAICX,26.11,16.66,26.11,16.78,,,0.53,****,1.44,4,"383,535,076",International
Fidelity Advisor Overseas Instl,FAOIX,11.79,17.52,11.79,11.97,,,0.92,****,1.16,2,"77,745,477",International
Fidelity Diversified International,FDIVX,14.39,15.25,14.39,16.01,13.24,,1.26,****,1.23,7,"2,156,898,342",International
Fremont International Growth,FIGFX,9.81,16.28,9.81,4.37,,,0.09,***,1.5,0,"44,817,724",International
Fidelity International Growth & Inc,FIGRX,9.98,16.48,9.98,9.91,7.67,8.94,0.42,***,1.15,0,"870,975,160",International
First American International Index Y,FIICX,19.72,20.52,19.72,7.99,,,1.3,***,0.74,0,"122,768,796",International
Firstar International Equity Instl,FIIEX,-9.55,12.75,-9.55,-5.26,,,2,**,1.5,4,"38,909,973",International
Fidelity International Value,FIVFX,11.74,19.44,11.74,9.71,,,0.37,***,1.28,4,"435,796,443",International
59 Wall Street International Equity,FNIEX,16.17,13.06,16.17,,,,0.25,,,1,"27,474,000",International
Founders International Equity,FOIEX,17.01,11.9,17.01,17.23,,,0,*****,1.85,2,"18,995,155",International
Fidelity Overseas,FOSFX,12.84,17.91,12.84,12.28,9.35,8.68,0.55,****,1.2,2,"3,846,516,551",International
Founders Passport,FPSSX,12.5,13.41,12.5,11.15,8.89,,0.07,***,1.53,5,"124,654,439",International
Fremont International Small Cap,FRISX,4.12,15.97,4.12,-4.98,,,0.17,**,1.5,0,"6,246,766",International
Invesco International Growth,FSIGX,7.44,13.07,7.44,5.67,5.15,4.33,0,***,1.71,4,"45,100,627",International
Fidelity Spartan International Index,FSIIX,21.24,21.1,21.24,,,,1.62,,0.35,1,"34,281,664",International
FTI International Equity,FTIEX,12.86,14.64,12.86,13,,,0.32,****,1.6,3,"73,912,403",International
Goldman Sachs Core Intl Equity Instl,GCIIX,14.57,19.05,14.57,,,,0.29,,1,1,"283,175,191",International
Goldman Sachs Core Intl Equity Svc,GCISX,14.09,18.97,14.09,,,,0.16,,1.5,1,"20,953",International
GE International Equity C,GEICX,14.17,16.65,14.17,10.83,,,0,***,1.35,4,"6,885,629",International
GE International Equity D,GEIDX,14.6,16.72,14.6,11.21,,,0.06,***,1.01,4,"17,330,006",International
GE Instl International Equity,GIEIX,17.32,19.65,17.32,,,,1.02,,,1,"136,926,208",International
Galaxy International Equity Tr,GIETX,21.99,17.16,21.99,15.51,,,0.79,****,1.06,2,"368,468,920",International
Gabelli International Growth,GIGRX,17.37,14.66,17.37,15.43,,,0.2,****,2.46,3,"26,790,807",International
Goldman Sachs Intl Small Cap Instl,GISIX,,17.38,,,,,,,,0,"34,709,643",International
Goldman Sachs Intl Small Cap Svc,GISSX,,17.25,,,,,,,,0,"1,593",International
GMO International Core IV,GMCFX,,15.2,,,,,,,,0,"640,485,920",International
GMO Foreign IV,GMFFX,,17.01,,,,,,,,,"138,168,956",International
GMO Foreign II,GMFRX,13.92,16.97,13.92,,,,2.02,,,,"60,314,691",International
GMO Currency Hedged Intl Core IV,GMHFX,,13.83,,,,,,,,,"157,516,678",International
GMO International Core II,GMICX,13.48,15.17,13.48,,,,2.03,,,2,"16,847,220",International
GMO Currency Hedged Intl Core III,GMOCX,7.29,13.87,7.29,11.77,,,2.54,****,,3,"287,920,724",International
GMO Foreign III,GMOFX,13.95,16.9,13.95,,,,2.06,,,,"1,086,174,847",International
GMO International Core III,GMOIX,13.6,15.17,13.6,7.89,7.61,9.92,2.06,****,0.71,11,"3,024,703,426",International
Goldman Sachs Intl Equity Instl,GSIEX,18.72,15.73,18.72,,,,0,,1.08,2,"104,295,517",International
Goldman Sachs Intl Equity Svc,GSISX,18.42,15.57,18.42,,,,0.27,,1.55,2,"3,567,400",International
Glenmede International,GTCIX,16.18,15.54,16.18,13.73,11.97,11.8,2.41,****,0.14,10,"1,190,096,767",International
Glenmede Institutional International,GTIIX,15.51,14.79,15.51,13.46,10.83,,1.52,****,0.87,6,"103,558,726",International
Harbor International Growth,HAIGX,23.49,22.35,23.49,19.09,14.14,,0.56,****,1.02,5,"1,244,381,582",International
